"","season","Id","Team_Bat","Team_Bowl","Batting_Run_Rate","Batting_Average","Batting_Wicket_Rate","Batting_Index","Bowling_Economy_Rate","Bowling_Average","Bowling_Strike_Rate","Bowling_Index"
"1","2017","1","RCB","SRH",0.233062330623306,1.39837398373984,0.0813008130081301,12.0260162601626,19.1111111111111,1.39837398373984,0.0813008130081301,26.7244805781391
"2","2017","1","SRH","RCB",0.276,1.656,0.032,17.1396,23,1.656,0.032,38.088
"3","2017","10","MI","SRH",0.234513274336283,1.4070796460177,0.0530973451327434,12.429203539823,17.6666666666667,1.4070796460177,0.0530973451327434,24.858407079646
"4","2017","10","SRH","MI",0.208994708994709,1.25396825396825,0.0634920634920635,9.43461829176115,17.5555555555556,1.25396825396825,0.0634920634920635,22.0141093474427
"5","2008","100","DD","KXIP",0.269406392694064,1.61643835616438,0.0547945205479452,15.8949771689498,13.1111111111111,1.61643835616438,0.0547945205479452,21.193302891933
"6","2008","100","KXIP","DD",0.313333333333333,1.88,0.06,22.09,11.75,1.88,0.06,22.09
"7","2008","101","RCB","RR",0.176,1.056,0.072,6.9696,14.6666666666667,1.056,0.072,15.488
"8","2008","101","RR","RCB",0.258530183727034,1.5511811023622,0.0078740157480315,14.5515560554931,21.8888888888889,1.5511811023622,0.0078740157480315,33.9536307961505
"9","2008","102","DC","MI",0.205645161290323,1.23387096774194,0.0564516129032258,9.43911290322581,17,1.23387096774194,0.0564516129032258,20.9758064516129
"10","2008","102","MI","DC",0.231770833333333,1.390625,0.0546875,11.7872023809524,19.7777777777778,1.390625,0.0546875,27.5034722222222
"11","2008","103","CSK","KKR",0.179738562091503,1.07843137254902,0,7.41421568627451,6.875,1.07843137254902,0,7.41421568627451
"12","2008","103","KKR","CSK",0.200268817204301,1.20161290322581,0.0403225806451613,8.95201612903226,16.5555555555556,1.20161290322581,0.0403225806451613,19.8933691756272
"13","2008","104","DD","RCB",0.237237237237237,1.42342342342342,0.045045045045045,12.4944944944945,17.5555555555556,1.42342342342342,0.045045045045045,24.988988988989
"14","2008","104","RCB","DD",0.205333333333333,1.232,0.056,9.4864,17.1111111111111,1.232,0.056,21.0808888888889
"15","2008","105","KKR","RR",0.200819672131148,1.20491803278689,0.0655737704918033,8.85614754098361,16.3333333333333,1.20491803278689,0.0655737704918033,19.6803278688525
"16","2008","105","RR","KKR",0.245098039215686,1.47058823529412,0.0392156862745098,12.9757785467128,16.6666666666667,1.47058823529412,0.0392156862745098,24.5098039215686
"17","2008","106","KXIP","MI",0.254032258064516,1.5241935483871,0.032258064516129,14.4036290322581,21,1.5241935483871,0.032258064516129,32.008064516129
"18","2008","106","MI","KXIP",0.250666666666667,1.504,0.08,14.1376,20.8888888888889,1.504,0.08,31.4168888888889
"19","2008","107","CSK","RCB",0.148148148148148,0.888888888888889,0.0634920634920635,4.74074074074074,12.4444444444444,0.888888888888889,0.0634920634920635,11.0617283950617
"20","2008","107","RCB","CSK",0.173553719008264,1.04132231404959,0.0661157024793388,6.5603305785124,14,1.04132231404959,0.0661157024793388,14.5785123966942
"21","2008","108","DC","KXIP",0.241046831955923,1.44628099173554,0.0330578512396694,12.654958677686,19.4444444444444,1.44628099173554,0.0330578512396694,28.1221303948577
"22","2008","108","KXIP","DC",0.243169398907104,1.45901639344262,0.0327868852459016,12.9852459016393,19.7777777777778,1.45901639344262,0.0327868852459016,28.856102003643
"23","2008","109","DD","MI",0.248611111111111,1.49166666666667,0.0416666666666667,13.3504166666667,19.8888888888889,1.49166666666667,0.0416666666666667,29.6675925925926
"24","2008","109","MI","DD",0.230971128608924,1.38582677165354,0.062992125984252,11.6145481814773,19.5555555555556,1.38582677165354,0.062992125984252,27.1006124234471
"25","2017","11","KKR","KXIP",0.274038461538462,1.64423076923077,0.0192307692307692,16.5390271493213,19,1.64423076923077,0.0192307692307692,31.2403846153846
"26","2017","11","KXIP","KKR",0.217948717948718,1.30769230769231,0.0692307692307692,10.5860805860806,18.8888888888889,1.30769230769231,0.0692307692307692,24.7008547008547
"27","2008","110","CSK","RR",0.265873015873016,1.5952380952381,0.0555555555555556,15.2687074829932,22.3333333333333,1.5952380952381,0.0555555555555556,35.6269841269841
"28","2008","110","RR","CSK",0.288251366120219,1.72950819672131,0.040983606557377,18.2463114754098,23.4444444444444,1.72950819672131,0.040983606557377,40.5473588342441
"29","2008","111","DC","RCB",0.209016393442623,1.25409836065574,0.0491803278688525,9.59385245901639,17,1.25409836065574,0.0491803278688525,21.3196721311475
"30","2008","111","RCB","DC",0.213114754098361,1.27868852459016,0.0655737704918033,9.97377049180328,17.3333333333333,1.27868852459016,0.0655737704918033,22.1639344262295
"31","2008","112","KKR","KXIP",0.239071038251366,1.4344262295082,0.0573770491803279,12.5512295081967,19.4444444444444,1.4344262295082,0.0573770491803279,27.891621129326
"32","2008","112","KXIP","KKR",0.23015873015873,1.38095238095238,0.0476190476190476,11.4421768707483,19.3333333333333,1.38095238095238,0.0476190476190476,26.6984126984127
"33","2008","113","MI","RR",0.190288713910761,1.14173228346457,0.0551181102362205,7.88338957630296,16.1111111111111,1.14173228346457,0.0551181102362205,18.3945756780402
"34","2008","113","RR","MI",0.193121693121693,1.15873015873016,0.0396825396825397,8.05593348450491,16.2222222222222,1.15873015873016,0.0396825396825397,18.7971781305115
"35","2008","114","CSK","DC",0.198924731182796,1.19354838709677,0.0241935483870968,8.83225806451613,16.4444444444444,1.19354838709677,0.0241935483870968,19.6272401433692
